season,week,patch,team_1_blue_side,team_2_red_side,score
LEC 2021 Summer Season,Week 1,11.11,MAD,G2,0 - 1
LEC 2021 Summer Season,Week 1,11.11,SK,AST,0 - 1
LEC 2021 Summer Season,Week 1,11.11,RGE,XL,1 - 0
LEC 2021 Summer Season,Week 1,11.11,VIT,S04,1 - 0
LEC 2021 Summer Season,Week 1,11.11,MSF,FNC,1 - 0
LEC 2021 Summer Season,Week 1,11.11,XL,AST,0 - 1
LEC 2021 Summer Season,Week 1,11.11,SK,MSF,0 - 1
LEC 2021 Summer Season,Week 1,11.11,VIT,RGE,0 - 1
LEC 2021 Summer Season,Week 1,11.11,S04,G2,1 - 0
LEC 2021 Summer Season,Week 1,11.11,MAD,FNC,1 - 0
LEC 2021 Summer Season,Week 1,11.11,S04,XL,0 - 1
LEC 2021 Summer Season,Week 1,11.11,VIT,MSF,0 - 1
LEC 2021 Summer Season,Week 1,11.11,MAD,AST,1 - 0
LEC 2021 Summer Season,Week 1,11.11,SK,G2,0 - 1
LEC 2021 Summer Season,Week 1,11.11,RGE,FNC,0 - 1
LEC 2021 Summer Season,Week 2,11.12,SK,S04,0 - 1
LEC 2021 Summer Season,Week 2,11.12,MAD,XL,0 - 1
LEC 2021 Summer Season,Week 2,11.12,RGE,MSF,1 - 0
LEC 2021 Summer Season,Week 2,11.12,VIT,FNC,0 - 1
LEC 2021 Summer Season,Week 2,11.12,G2,AST,1 - 0
LEC 2021 Summer Season,Week 2,11.12,VIT,SK,1 - 0
LEC 2021 Summer Season,Week 2,11.12,MSF,AST,1 - 0
LEC 2021 Summer Season,Week 2,11.12,S04,MAD,0 - 1
LEC 2021 Summer Season,Week 2,11.12,FNC,XL,1 - 0
LEC 2021 Summer Season,Week 2,11.12,RGE,G2,0 - 1
LEC 2021 Summer Season,Week 3,11.12,MSF,XL,1 - 0
LEC 2021 Summer Season,Week 3,11.12,SK,MAD,0 - 1
LEC 2021 Summer Season,Week 3,11.12,S04,RGE,0 - 1
LEC 2021 Summer Season,Week 3,11.12,FNC,AST,1 - 0
LEC 2021 Summer Season,Week 3,11.12,VIT,G2,1 - 0
LEC 2021 Summer Season,Week 3,11.12,SK,XL,1 - 0
LEC 2021 Summer Season,Week 3,11.12,S04,MSF,0 - 1
LEC 2021 Summer Season,Week 3,11.12,RGE,AST,1 - 0
LEC 2021 Summer Season,Week 3,11.12,VIT,MAD,1 - 0
